,id,name,popularity,duration,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
413,2QpGZOhTCHHiKmpSO9FW4h,Follow God,74,104591,Kanye West,0.529,0.9,-3.503,0.418,0.000248,1.21e-05,0.434,180.291
414,4RJz8NfIe09gpKMiRUWKhJ,Parce (feat. Justin Quiles),90,248345,"Maluma, Lenny Tavárez, Justin Quiles",0.691,0.739,-3.09,0.229,0.422,3.95e-06,0.884,83.897
416,15OjBeqNX3bShsGYQbteRv,La Tóxica,92,180520,Farruko,0.659,0.701,-4.107,0.164,0.0882,0.0,0.623,91.97
417,3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),86,172761,"Marshmello, Halsey",0.63,0.633,-7.088,0.0457,0.00776,0.0,0.452,93.995
418,5KCbr5ndeby4y4ggthdiAb,Wonder,92,172692,Shawn Mendes,0.333,0.637,-4.904,0.0581,0.131,1.8e-05,0.132,139.898
419,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,86,215106,Lewis Capaldi,0.459,0.575,-4.858,0.0573,0.604,0.0,0.183,111.881
420,1kKYjjfNYxE0YYgLa7vgVY,Higher Love,68,228267,"Kygo, Whitney Houston",0.693,0.678,-7.159,0.0324,0.0151,5.71e-06,0.404,103.952
423,1Ol5LmdNDNpFu1oNwfgkux,Tutu,71,179339,"Camilo, Pedro Capó",0.727,0.838,-2.435,0.0472,0.297,0.0,0.933,145.995
424,4vjpLMyL3ZO6aphdYr8XYw,i'm so tired...,80,162586,"Lauv, Troye Sivan",0.599,0.733,-7.058,0.203,0.176,0.0,0.534,102.211
427,3ZWhRS2EJVL5B0IEzkcvZa,Sweet & Sour (feat. Lauv & Tyga),74,163228,"Jawsh 685, Lauv, Tyga",0.827,0.73,-5.324,0.0934,0.092,1.35e-05,0.679,95.003
428,5YUyW9opqNsMSEzzecZih1,X,75,172854,"Nicky Jam, J Balvin",0.594,0.749,-5.298,0.056,0.0338,0.00106,0.694,179.968
429,6lhZLbb0czULpjb2kFryPS,Let's Love,82,200645,"David Guetta, Sia",0.662,0.868,-4.025,0.0341,0.00882,0.00244,0.353,92.998
431,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,81,206693,Bruno Mars,0.853,0.56,-4.961,0.0406,0.013,0.0,0.86,134.066
434,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),80,213309,"Calvin Harris, Sam Smith, Jessie Reyez",0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.486,123.07
436,7FullO2NDkyvxLuxYVKINa,Excitement (feat. PARTYNEXTDOOR),72,283285,"Trippie Redd, PARTYNEXTDOOR",0.443,0.536,-8.187,0.0378,0.0194,4.24e-05,0.0391,121.967
437,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,91,190306,Jason Derulo,0.789,0.711,-4.248,0.041,0.0332,0.0,0.753,112.985
440,0t1kP63rueHleOhQkYSXFY,Dynamite,95,199053,BTS,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.737,114.044
441,4SFknyjLcyTLJFPKD2m96o,How You Like That,85,180946,BLACKPINK,0.812,0.8,-4.282,0.077,0.0375,0.000112,0.357,130.036
442,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),84,229773,"BTS, Halsey",0.645,0.862,-4.757,0.0965,0.0923,0.0,0.798,119.991
443,4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),80,175813,"BLACKPINK, Selena Gomez",0.785,0.719,-3.886,0.354,0.0374,0.000108,0.887,159.953
444,3bkkMZEAhx7rTVz1C0itRQ,Black Swan,75,198260,BTS,0.719,0.758,-5.167,0.0851,0.137,0.0,0.49,147.023
445,2QyuXBcV1LJ2rq01KhreMF,ON,82,246380,BTS,0.583,0.817,-5.146,0.0987,0.118,0.0,0.438,105.936
446,1IWNylpZ477gIVUDpJL66u,Sour Candy (with BLACKPINK),75,157706,"Lady Gaga, BLACKPINK",0.752,0.87,-3.812,0.0623,0.0604,1.12e-05,0.784,120.006
447,4pUCKHjJ4Ijewc37rRrvHn,Kill This Love,56,189052,BLACKPINK,0.738,0.861,-4.141,0.237,0.32,0.00175,0.58,131.974
448,3CYH422oy1cZNoo0GTG1TK,Psycho,80,210560,Red Velvet,0.664,0.666,-2.203,0.0446,0.193,0.0,0.405,139.987
449,6tCssnvTUREcperDOUTqvA,WANNABE,77,191242,ITZY,0.809,0.911,-4.41,0.0617,0.00795,0.000179,0.64,122.035
450,0ono6UCNVZ1XqOm6j78Blu,Filter,79,180220,BTS,0.781,0.762,-5.188,0.0626,0.0222,0.0,0.86,110.042
451,4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,84,192760,BLACKPINK,0.658,0.733,-4.756,0.0586,0.00668,0.0,0.464,127.977
452,0pYacDCZuRhcrwGUA5nTBe,eight(Prod.&Feat. SUGA of BTS),79,167573,"IU, SUGA",0.676,0.869,-1.573,0.0423,0.115,0.0,0.594,120.029
453,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,77,209355,BLACKPINK,0.671,0.859,-3.922,0.0833,0.0323,0.0,0.389,139.931
454,3Ys2PYl1wyPKQIwyqhP9cQ,Stay Gold,79,243266,BTS,0.723,0.634,-5.415,0.0542,0.0892,0.0,0.582,129.017
455,4vTgx6h4seHvkuFh84JXYP,My Time,77,234457,BTS,0.674,0.64,-5.139,0.0339,0.151,0.0,0.664,99.908
456,2HtcPHFdo7eu4Ilbvb0BVI,Feel Special,76,206866,TWICE,0.709,0.959,-1.339,0.0603,0.0296,0.00188,0.644,128.983
457,2qG81jL9UIP54uS8gYyP4k,Who (feat. BTS),77,180413,"Lauv, BTS",0.632,0.345,-8.0,0.0349,0.551,0.0,0.0818,141.641
458,3aW0ds4A4tSQDIp75FqWTo,FAKE LOVE,73,242333,BTS,0.557,0.719,-4.515,0.0372,0.00267,0.0,0.344,77.501
459,0W5hTAWn8Tq0Qfhg1XP3YW,FANCY,76,213880,TWICE,0.697,0.874,-2.15,0.045,0.0122,0.0,0.775,132.022
460,13hvHEstJ4sNbzdroPrPI3,Kiss and Make Up,53,190560,"Dua Lipa, BLACKPINK",0.675,0.729,-4.383,0.146,0.0557,0.0,0.63,99.986
461,1iIhGHzzrzqQfuNkFI2qAn,Any song,73,227226,ZICO,0.874,0.787,-2.416,0.129,0.118,0.0,0.896,108.007
462,2bAAj29XGc4h1G4oEGYCmg,MORE & MORE,64,199653,TWICE,0.739,0.841,-4.162,0.06,0.0312,0.0,0.562,106.99
463,314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),75,226321,"BTS, Lauv",0.584,0.685,-7.811,0.425,0.0304,0.0,0.345,97.551
464,39EXZNMxb4RBHlRjnRaOKp,Sweet Night,79,214258,V,0.462,0.339,-7.943,0.025,0.495,8.15e-06,0.149,92.106
465,44WLOqH7QayQOQdeUHeKUK,We are Bulletproof : the Eternal,76,261542,BTS,0.526,0.575,-5.215,0.0309,0.225,0.0,0.19,84.047
466,3p6hnejEQYXkiTO1lAzVc0,Euphoria,79,228615,BTS,0.637,0.799,-4.519,0.0338,0.394,0.0,0.562,104.995
467,24nK8tW7Pt3Inh2utttuoG,HIP,75,195306,MAMAMOO,0.782,0.731,-4.581,0.143,0.0376,3.15e-05,0.824,138.032
468,5SE57ljOIUJ1ybL9U6CuBH,DNA,71,223122,BTS,0.598,0.775,-4.035,0.0545,0.022,0.0,0.687,129.819
469,3IB5qOeMayvpOdHxYCL5tZ,ON (Feat. Sia),67,246816,"BTS, Sia",0.591,0.848,-4.397,0.0828,0.137,0.0,0.386,105.922
470,2kqnQCChvRpDRAasIwc4Rh,Maria,58,199026,Hwa Sa,0.667,0.745,-2.96,0.0621,0.238,2.06e-06,0.482,128.972
471,7w05lsU2VLSeiT8Nukrv5M,Friends,75,199338,BTS,0.55,0.747,-5.211,0.0407,0.0668,0.0,0.648,79.98
472,1Zyd6zQnC6XIIzmg3hP7Ot,As If It's Your Last,77,213264,BLACKPINK,0.786,0.853,-2.687,0.0816,0.0688,0.0,0.45,125.034
473,4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock),75,250295,BTS,0.566,0.548,-6.456,0.0579,0.0802,0.0,0.196,157.999
474,2wVDWtLKXunswWecARNILj,SOLO,73,169566,JENNIE,0.751,0.642,-5.165,0.087,0.0861,0.0,0.388,95.045
475,1aKuG1GG76xPLUkjBbQo3W,UGH!,74,225012,BTS,0.72,0.824,-5.086,0.128,0.0394,0.0,0.333,165.998
477,3op7HNwLli54MBjFGzIlZO,Louder than bombs,73,217404,BTS,0.643,0.667,-6.993,0.152,0.0433,0.0,0.485,145.999
478,3CyCjgTHFzqucmECajq8QA,DUN DUN,73,192280,EVERGLOW,0.692,0.881,-2.563,0.0461,0.0457,4.26e-06,0.433,103.055
479,1qAPA8TooLVEqAZ58fhcrt,BOOMBAYAH - KR Ver.,56,241466,BLACKPINK,0.657,0.85,-3.157,0.0694,0.00264,0.0,0.375,124.882
480,1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,82,199120,BLACKPINK,0.695,0.583,-6.575,0.0423,0.00657,8.75e-05,0.382,152.001
481,6KUE0HSSudAp9AOycaF6SH,Make It Right,73,226321,BTS,0.638,0.703,-7.874,0.444,0.0104,0.0,0.261,105.766
482,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,76,192452,"SHAUN, Conor Maynard, Sam Feldt",0.737,0.747,-4.818,0.0323,0.269,0.0,0.447,105.943
483,7iAgNZdotu40NwtoIWJHFe,Bet You Wanna (feat. Cardi B),79,159173,"BLACKPINK, Cardi B",0.665,0.674,-5.188,0.161,0.00386,0.0,0.702,111.516
